"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1930-07-28,"General","17","Acadia","Gardiner, Robert","Gardiner","Robert",NA,"Man","Farmer","United Farmers of Alberta","Elected (Acclamation)",0
"Alberta",1930-07-28,"General","17","Athabaska","Buckley, John Francis","Buckley","John","Francis","Man","Barrister","Liberal Party of Canada","Elected",5504
"Alberta",1930-07-28,"General","17","Athabaska","Kellner, Donald Ferdinand","Kellner","Donald","Ferdinand","Man","Farmer","United Farmers of Alberta","Defeated",4190
"Alberta",1930-07-28,"General","17","Athabaska","Michajluk, Emanuel","Michajluk","Emanuel",NA,"Man","Farmer, barrister","Conservative (1867-1942)","Defeated",2218
"Alberta",1930-07-28,"General","17","Battle River","Spencer, Henry Elvins","Spencer","Henry","Elvins","Man","Farmer","United Farmers of Alberta","Elected",6874
"Alberta",1930-07-28,"General","17","Battle River","Morrison, John William Geddie","Morrison","John","William Geddie","Man","Barrister","Conservative (1867-1942)","Defeated",3927
"Alberta",1930-07-28,"General","17","Bow River","Garland, Edward Joseph","Garland","Edward","Joseph","Man","Farmer","United Farmers of Alberta","Elected",5825
"Alberta",1930-07-28,"General","17","Bow River","Graham, Dawson","Graham","Dawson",NA,"Man","Physician","Conservative (1867-1942)","Defeated",4653
"Alberta",1930-07-28,"General","17","Calgary East","Stanley, George Douglass","Stanley","George","Douglass","Man","Physician","Conservative (1867-1942)","Elected",11344
"Alberta",1930-07-28,"General","17","Calgary East","Adshead, Herbert Bealey","Adshead","Herbert","Bealey","Man","Retired farmer","Labour","Defeated",6002
"Alberta",1930-07-28,"General","17","Calgary West","Bennett, Richard Bedford","Bennett","Richard","Bedford","Man","Barrister","Conservative (1867-1942)","Elected",13883
"Alberta",1930-07-28,"General","17","Calgary West","Mclaurin, Colin Campbell","Mclaurin","Colin","Campbell","Man","Barrister","Liberal Party of Canada","Defeated",5887
"Alberta",1930-07-28,"General","17","Camrose","Lucas, William Thomas","Lucas","William","Thomas","Man","Farmer","United Farmers of Alberta","Elected",6462
"Alberta",1930-07-28,"General","17","Camrose","Mcivor, Donald Randolph","Mcivor","Donald","Randolph","Man","Merchant","Liberal Party of Canada","Defeated",4432
"Alberta",1930-07-28,"General","17","Edmonton East","Bury, Ambrose Upton Gledstanes","Bury","Ambrose","Upton Gledstanes","Man","Barrister","Conservative (1867-1942)","Elected",6662
"Alberta",1930-07-28,"General","17","Edmonton East","Blatchford, Kenneth Alexander","Blatchford","Kenneth","Alexander","Man","Insurance broker","Liberal Party of Canada","Defeated",4921
"Alberta",1930-07-28,"General","17","Edmonton West","Stewart, Charles A.","Stewart","Charles","A.","Man","Farmer","Liberal Party of Canada","Elected",9223
"Alberta",1930-07-28,"General","17","Edmonton West","Jamieson, Frederick Charles","Jamieson","Frederick","Charles","Man","Barrister","Conservative (1867-1942)","Defeated",8960
"Alberta",1930-07-28,"General","17","Lethbridge","Stewart, John Smith","Stewart","John","Smith","Man","Dentist","Conservative (1867-1942)","Elected",4863
"Alberta",1930-07-28,"General","17","Lethbridge","King, Thomas Owen","King","Thomas","Owen","Man","Farmer","Progressive","Defeated",3880
"Alberta",1930-07-28,"General","17","Lethbridge","Baalim, Arthur George","Baalim","Arthur","George","Man","Automobile dealer","Liberal Party of Canada","Defeated",3779
"Alberta",1930-07-28,"General","17","Macleod","Coote, George Gibson","Coote","George","Gibson","Man","Farmer","United Farmers of Alberta","Elected",6897
"Alberta",1930-07-28,"General","17","Macleod","Matheson, Joseph Duncan","Matheson","Joseph","Duncan","Man","Barrister","Conservative (1867-1942)","Defeated",6105
"Alberta",1930-07-28,"General","17","Medicine Hat","Gershaw, Frederick William","Gershaw","Frederick","William","Man","Physician","Liberal Party of Canada","Elected",6043
"Alberta",1930-07-28,"General","17","Medicine Hat","Blackstock, Gilbert McNeill","Blackstock","Gilbert","McNeill","Man","Barrister","Conservative (1867-1942)","Defeated",3109
"Alberta",1930-07-28,"General","17","Peace River","Kennedy, Donald MacBeth","Kennedy","Donald","MacBeth","Man","Farmer","United Farmers of Alberta","Elected",10204
"Alberta",1930-07-28,"General","17","Peace River","Thomson, John Ewing","Thomson","John","Ewing","Man","Merchant","Liberal Party of Canada","Defeated",8390
"Alberta",1930-07-28,"General","17","Red Deer","Speakman, Alfred","Speakman","Alfred",NA,"Man","Farmer","United Farmers of Alberta","Elected",6256
"Alberta",1930-07-28,"General","17","Red Deer","Botterill, William John","Botterill","William","John","Man","Agent","Liberal Party of Canada","Defeated",4571
"Alberta",1930-07-28,"General","17","Vegreville","Luchkovich, Michael","Luchkovich","Michael",NA,"Man","Teacher","United Farmers of Alberta","Elected",5510
"Alberta",1930-07-28,"General","17","Vegreville","Gordon, Charles","Gordon","Charles",NA,"Man","Lumber merchant","Liberal Party of Canada","Defeated",4500
"Alberta",1930-07-28,"General","17","Wetaskiwin","Irvine, William","Irvine","William",NA,"Man","Farmer","United Farmers of Alberta","Elected",4750
"Alberta",1930-07-28,"General","17","Wetaskiwin","Russell, Charles Homer","Russell","Charles","Homer","Man","Barrister","Conservative (1867-1942)","Defeated",4326
"Alberta",1930-07-28,"General","17","Wetaskiwin","Hayhurst, William","Hayhurst","William",NA,"Man","Farmer","Liberal Party of Canada","Defeated",2876
"British Columbia",1930-07-28,"General","17","Cariboo","Fraser, John Anderson","Fraser","John","Anderson","Man","Merchant","Conservative (1867-1942)","Elected",8548
"British Columbia",1930-07-28,"General","17","Cariboo","Perry, Henry George Thomas","Perry","Henry","George Thomas","Man","Insurance agent","Liberal Party of Canada","Defeated",8220
"British Columbia",1930-07-28,"General","17","Comox--Alberni","Neill, Alan Webster","Neill","Alan","Webster","Man","Retired merchant","Independent","Elected",5651
"British Columbia",1930-07-28,"General","17","Comox--Alberni","Graham, Thomas","Graham","Thomas",NA,"Man","Civil engineer","Conservative (1867-1942)","Defeated",3270
"British Columbia",1930-07-28,"General","17","Fraser Valley","Barber, Harry James","Barber","Harry","James","Man","Druggist","Conservative (1867-1942)","Elected",6946
"British Columbia",1930-07-28,"General","17","Fraser Valley","McGeer, Gerald Grattan","McGeer","Gerald","Grattan","Man","Barrister","Liberal Party of Canada","Defeated",6374
"British Columbia",1930-07-28,"General","17","Kootenay East","McLean, Michael Dalton","McLean","Michael","Dalton","Man","Overman","Conservative (1867-1942)","Elected",4674
"British Columbia",1930-07-28,"General","17","Kootenay East","Guimont, Joseph-Francis","Guimont","Joseph-Francis",NA,"Man","Train dispatcher","Liberal Party of Canada","Defeated",4468
"British Columbia",1930-07-28,"General","17","Kootenay West","Esling, William Kemble","Esling","William","Kemble","Man","General agent","Conservative (1867-1942)","Elected",7699
"British Columbia",1930-07-28,"General","17","Kootenay West","Mclean, Duncan Daniel","Mclean","Duncan","Daniel","Man","Railroad conductor","Liberal Party of Canada","Defeated",5938
"British Columbia",1930-07-28,"General","17","Nanaimo","Dickie, Charles Herbert","Dickie","Charles","Herbert","Man","Miner","Conservative (1867-1942)","Elected",11827
"British Columbia",1930-07-28,"General","17","Nanaimo","O'HALLORAN, Cornelius Hawkins","O'HALLORAN","Cornelius","Hawkins","Man","Barrister","Liberal Party of Canada","Defeated",8596
"British Columbia",1930-07-28,"General","17","New Westminster","Reid, Thomas","Reid","Thomas",NA,"Man","Rancher","Liberal Party of Canada","Elected",13293
"British Columbia",1930-07-28,"General","17","New Westminster","McQuarrie, William Garland","McQuarrie","William","Garland","Man","Barrister","Conservative (1867-1942)","Defeated",10502
"British Columbia",1930-07-28,"General","17","Skeena","Hanson, Olof","Hanson","Olof",NA,"Man","Lumberman","Liberal Party of Canada","Elected",5351
"British Columbia",1930-07-28,"General","17","Skeena","Brady, James Charles","Brady","James","Charles","Man","School principal","Conservative (1867-1942)","Defeated",4327
"British Columbia",1930-07-28,"General","17","Vancouver Centre","Mackenzie, Ian Alistair","Mackenzie","Ian","Alistair","Man","Barrister","Liberal Party of Canada","Elected",12064
"British Columbia",1930-07-28,"General","17","Vancouver Centre","Stevens, Henry Herbert","Stevens","Henry","Herbert","Man","Accountant and broker","Conservative (1867-1942)","Defeated",10023
