"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"British Columbia",1891-03-05,"General","7","Cariboo","Barnard, Frank Stillman","Barnard","Frank","Stillman","Man","Businessman","Conservative (1867-1942)","Elected",223
"British Columbia",1891-03-05,"General","7","Cariboo","Watt, Hugh","Watt","Hugh",NA,"Man","Physician","Liberal Party of Canada","Defeated",194
"British Columbia",1891-03-05,"General","7","New Westminster","Corbould, Gordon Edward","Corbould","Gordon","Edward","Man","Lawyer","Conservative (1867-1942)","Elected",1694
"British Columbia",1891-03-05,"General","7","New Westminster","Scoullor, E.S.","Scoullor","E.S.",NA,"Man",NA,"Liberal Party of Canada","Defeated",532
"British Columbia",1891-03-05,"General","7","Vancouver","Gordon, David William","Gordon","David","William","Man","Contractor","Liberal-Conservative","Elected (Acclamation)",0
"British Columbia",1891-03-05,"General","7","Victoria","Earle, Thomas","Earle","Thomas",NA,"Man","Businessman","Conservative (1867-1942)","Elected",1061
"British Columbia",1891-03-05,"General","7","Victoria","Prior, Edward Gawler","Prior","Edward","Gawler","Man","Mining engineer","Conservative (1867-1942)","Elected",1031
"British Columbia",1891-03-05,"General","7","Victoria","Templeman, William","Templeman","William",NA,"Man",NA,"Liberal Party of Canada","Defeated",449
"British Columbia",1891-03-05,"General","7","Victoria","Marchant, William","Marchant","William",NA,"Man",NA,"Liberal Party of Canada","Defeated",417
"British Columbia",1891-03-05,"General","7","Yale","Mara, John Andrew","Mara","John","Andrew","Man","Merchant","Conservative (1867-1942)","Elected (Acclamation)",0
"Manitoba",1891-03-05,"General","7","Lisgar","Ross, Arthur Wellington","Ross","Arthur","Wellington","Man","Teacher","Liberal-Conservative","Elected",1359
"Manitoba",1891-03-05,"General","7","Lisgar","Taylor, John","Taylor","John",NA,"Man",NA,"Liberal Party of Canada","Defeated",1169
"Manitoba",1891-03-05,"General","7","Marquette","Watson, Robert","Watson","Robert",NA,"Man","Businessman","Liberal Party of Canada","Elected",2265
"Manitoba",1891-03-05,"General","7","Marquette","Boyd, Nathaniel","Boyd","Nathaniel",NA,"Man","Telegraph operator","Conservative (1867-1942)","Defeated",2219
"Manitoba",1891-03-05,"General","7","Provencher","LaRivière, Alphonse Alfred Clément","LaRivière","Alphonse","Alfred Clément","Man","Editor","Conservative (1867-1942)","Elected (Acclamation)",0
"Manitoba",1891-03-05,"General","7","Selkirk","Daly, Thomas Mayne","Daly","Thomas","Mayne","Man","Lawyer","Liberal-Conservative","Elected",3660
"Manitoba",1891-03-05,"General","7","Selkirk","Martin, Joseph","Martin","Joseph",NA,"Man","Miller","Liberal Party of Canada","Defeated",3225
"Manitoba",1891-03-05,"General","7","Winnipeg","Macdonald, Hugh John","Macdonald","Hugh","John","Man","Lawyer","Liberal-Conservative","Elected",2131
"Manitoba",1891-03-05,"General","7","Winnipeg","Campbell, Isaac","Campbell","Isaac",NA,"Man",NA,"Liberal Party of Canada","Defeated",1622
"New Brunswick",1891-03-05,"General","7","Albert","Weldon, Richard Chapman","Weldon","Richard","Chapman","Man","Lawyer","Conservative (1867-1942)","Elected",1096
"New Brunswick",1891-03-05,"General","7","Albert","Emmerson, Henry Robert","Emmerson","Henry","Robert","Man",NA,"Liberal Party of Canada","Defeated",1020
"New Brunswick",1891-03-05,"General","7","Carleton","Colter, Newton Ramsay","Colter","Newton","Ramsay","Man","Physician","Liberal Party of Canada","Elected",2016
"New Brunswick",1891-03-05,"General","7","Carleton","Vince, D. McL.","Vince","D.","McL.","Man",NA,"Conservative (1867-1942)","Defeated",1908
"New Brunswick",1891-03-05,"General","7","Charlotte","Gillmor, Arthur Hill","Gillmor","Arthur","Hill","Man","Lumberman","Liberal Party of Canada","Elected",1934
"New Brunswick",1891-03-05,"General","7","Charlotte","Lawson, Edward M.","Lawson","Edward","M.","Man",NA,"Conservative (1867-1942)","Defeated",1686
"New Brunswick",1891-03-05,"General","7","Gloucester","Burns, Kennedy Francis","Burns","Kennedy","Francis","Man","Merchant","Conservative (1867-1942)","Elected",1943
"New Brunswick",1891-03-05,"General","7","Gloucester","Landry, W.A.","Landry","W.A.",NA,"Man",NA,"Liberal Party of Canada","Defeated",1571
"New Brunswick",1891-03-05,"General","7","Kent","Léger, Édouard H.","Léger","Édouard","H.","Man","Physician","Conservative (1867-1942)","Elected",1722
"New Brunswick",1891-03-05,"General","7","Kent","LeBlanc, Olivier J.","LeBlanc","Olivier","J.","Man",NA,"Liberal Party of Canada","Defeated",1011
"New Brunswick",1891-03-05,"General","7","King's","Foster, George Eulas","Foster","George","Eulas","Man","University teacher","Conservative (1867-1942)","Elected",1931
"New Brunswick",1891-03-05,"General","7","King's","Domville, James","Domville","James",NA,"Man","Merchant","Independent","Defeated",1858
"New Brunswick",1891-03-05,"General","7","Northumberland","Adams, Michael","Adams","Michael",NA,"Man","Lawyer","Conservative (1867-1942)","Elected",2192
"New Brunswick",1891-03-05,"General","7","Northumberland","Mitchell, Peter","Mitchell","Peter",NA,"Man","Lawyer","Independent Liberal","Defeated",1719
"New Brunswick",1891-03-05,"General","7","Queen's","King, George Gerald","King","George","Gerald","Man","Businessman","Liberal Party of Canada","Elected",1233
"New Brunswick",1891-03-05,"General","7","Queen's","Baird, George Frederick","Baird","George","Frederick","Man","Lawyer","Conservative (1867-1942)","Defeated",1204
"New Brunswick",1891-03-05,"General","7","Restigouche","McAlister, John","McAlister","John",NA,"Man","Lawyer","Liberal-Conservative","Elected",735
"New Brunswick",1891-03-05,"General","7","Restigouche","Moffatt, George","Moffatt","George",NA,"Man","Merchant","Conservative (1867-1942)","Defeated",519
"New Brunswick",1891-03-05,"General","7","St. John (City and County of)","Hazen, John Douglas","Hazen","John","Douglas","Man","Lawyer","Conservative (1867-1942)","Elected",4824
"New Brunswick",1891-03-05,"General","7","St. John (City and County of)","Skinner, Charles Nelson","Skinner","Charles","Nelson","Man","Lawyer","Liberal Party of Canada","Elected",4448
"New Brunswick",1891-03-05,"General","7","St. John (City and County of)","Weldon, Charles Wesley","Weldon","Charles","Wesley","Man","Lawyer","Liberal Party of Canada","Defeated",3832
"New Brunswick",1891-03-05,"General","7","St. John (City and County of)","Rankine, T.A.","Rankine","T.A.",NA,"Man",NA,"Unknown","Defeated",3503
"New Brunswick",1891-03-05,"General","7","St. John (City of )","McLeod, Ezekiel","McLeod","Ezekiel",NA,"Man","Lawyer","Conservative (1867-1942)","Elected",2649
"New Brunswick",1891-03-05,"General","7","St. John (City of )","Ellis, John Valentine","Ellis","John","Valentine","Man","Journalist","Liberal Party of Canada","Defeated",2063
"New Brunswick",1891-03-05,"General","7","Sunbury","Wilmot, Robert Duncan","Wilmot","Robert","Duncan","Man","Businessman","Conservative (1867-1942)","Elected",712
"New Brunswick",1891-03-05,"General","7","Sunbury","Day, Geo. E.","Day","Geo.","E.","Man","Physician","Liberal Party of Canada","Defeated",427
"New Brunswick",1891-03-05,"General","7","Victoria","Costigan, John","Costigan","John",NA,"Man","Judge","Liberal-Conservative","Elected",1427
"New Brunswick",1891-03-05,"General","7","Victoria","Lawson, Thomas","Lawson","Thomas",NA,"Man",NA,"Liberal Party of Canada","Defeated",732
"New Brunswick",1891-03-05,"General","7","Westmorland","Wood, Josiah","Wood","Josiah",NA,"Man","Lawyer","Conservative (1867-1942)","Elected",4205
"New Brunswick",1891-03-05,"General","7","Westmorland","George, Wm. F.","George","Wm.","F.","Man",NA,"Liberal Party of Canada","Defeated",2057
"New Brunswick",1891-03-05,"General","7","York","Temple, Thomas","Temple","Thomas",NA,"Man","Farmer","Conservative (1867-1942)","Elected",2048
"New Brunswick",1891-03-05,"General","7","York","Thompson, Frederick Pemberton","Thompson","Frederick","Pemberton","Man",NA,"Liberal Party of Canada","Defeated",1821
"Northwest Territories",1891-03-05,"General","7","Alberta (Provisional District)","Davis, Donald Watson","Davis","Donald","Watson","Man","Merchant","Conservative (1867-1942)","Elected",2742
"Northwest Territories",1891-03-05,"General","7","Alberta (Provisional District)","Reilly, James","Reilly","James",NA,"Man",NA,"Conservative (1867-1942)","Defeated",935
